time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1684473798.77834058,0.02091071,1404,0.00046389,0.00000000,0,0.00000000,8935,8924,44,0.00052499
1684473798.87840581,0.02101481,1422,0.00021334,0.00000000,0,0.00000000,8924,8952,37,0.00041494
1684473798.97836709,0.02454309,1402,0.00029543,0.00000000,0,0.00000000,8952,8967,39,0.00048430
1684473799.07840037,0.02228299,1407,0.00028951,0.00000000,0,0.00000000,8967,8989,42,0.00039309
1684473799.17829061,0.02226485,1431,0.00048827,0.00000000,0,0.00000000,8989,8953,45,0.00037592
1684473799.27824974,0.02315357,1413,0.00048014,0.00000000,0,0.00000000,8953,8959,51,0.00055730
1684473799.37838578,0.02235938,1412,0.00034866,0.00000000,0,0.00000000,8959,8972,46,0.00050880
1684473799.47841287,0.01911229,1407,0.00035544,0.00000000,0,0.00000000,8972,8998,53,0.00038305
1684473799.57833576,0.02211767,1418,0.00030749,0.00000000,0,0.00000000,8998,9026,48,0.00056642
1684473799.67819643,0.02368029,1418,0.00037467,0.00000000,0,0.00000000,9026,9009,29,0.00055397
1684473799.77826142,0.02313105,1394,0.00047445,0.00000000,0,0.00000000,9009,9007,55,0.00052576
1684473799.87820554,0.02071093,1411,0.00029565,0.00000000,0,0.00000000,9007,9044,48,0.00045842
1684473799.97811508,0.02519527,1428,0.00030308,0.00000000,0,0.00000000,9044,9062,44,0.00053212
1684473800.07818961,0.02131433,1395,0.00027624,0.00000000,0,0.00000000,9062,9091,46,0.00045257
1684473800.17812681,0.01898944,1428,0.00021837,0.00000000,0,0.00000000,9091,9091,31,0.00055829
1684473800.28097749,0.02136653,1425,0.00036475,0.00000000,0,0.00000000,9091,9098,48,0.00044674
1684473800.37808037,0.02217070,1398,0.00033593,0.00000000,0,0.00000000,9098,9120,41,0.00055004
1684473800.47799563,0.02147709,1423,0.00033017,0.00000000,0,0.00000000,9120,9138,43,0.00052598
1684473800.57790852,0.02267998,1405,0.00025451,0.00000000,0,0.00000000,9138,9135,34,0.00042944
1684473800.67802501,0.01863250,1426,0.00032307,0.00000000,0,0.00000000,9135,9116,43,0.00053471
1684473800.77789307,0.01954422,1420,0.00029185,0.00000000,0,0.00000000,9116,9154,46,0.00055631
1684473800.87781835,0.02329436,1429,0.00033033,0.00000000,0,0.00000000,9154,9182,48,0.00049978
1684473800.97808838,0.02262349,1421,0.00031629,0.00000000,0,0.00000000,9182,9174,35,0.00052713
1684473801.07783675,0.02289560,1443,0.00034281,0.00000000,0,0.00000000,9174,9187,53,0.00038823
1684473801.17787695,0.01901596,1401,0.00029508,0.00000000,0,0.00000000,9187,9209,42,0.00042928
1684473801.27776051,0.02287941,1421,0.00031785,0.00000000,0,0.00000000,9209,9236,44,0.00052758
1684473801.37771010,0.02251594,1398,0.00041459,0.00000000,0,0.00000000,9236,9239,44,0.00057544
1684473801.47779202,0.02368895,1403,0.00052998,0.00000000,0,0.00000000,9239,9203,43,0.00054575
1684473801.57768130,0.02160867,1417,0.00029312,0.00000000,0,0.00000000,9203,9202,39,0.00051952
1684473801.67762232,0.02038738,1413,0.00020295,0.00000000,0,0.00000000,9202,9202,25,0.00052563
1684473801.77768183,0.02090191,1388,0.00018964,0.00000000,0,0.00000000,9202,9232,32,0.00052755
1684473801.87755013,0.02264348,1418,0.00024466,0.00000000,0,0.00000000,9232,9231,34,0.00041222
1684473801.97769189,0.01922684,1384,0.00051885,0.00000000,0,0.00000000,9231,9207,51,0.00052659
1684473802.07760549,0.01992157,1413,0.00029549,0.00000000,0,0.00000000,9207,9172,27,0.00041578
1684473802.17810893,0.01997077,1421,0.00032374,0.00000000,0,0.00000000,9172,9172,43,0.00056091
1684473802.27761769,0.02039083,1383,0.00021817,0.00000000,0,0.00000000,9172,9187,30,0.00053910
1684473802.37749100,0.02034141,1409,0.00026689,0.00000000,0,0.00000000,9187,9193,33,0.00041242
1684473802.47805738,0.02372350,1412,0.00033567,0.00000000,0,0.00000000,9193,9202,35,0.00043683
1684473802.57750082,0.02088428,1422,0.00023778,0.00000000,0,0.00000000,9202,9226,41,0.00045001
1684473802.67801094,0.02193324,1444,0.00027531,0.00000000,0,0.00000000,9226,9253,28,0.00045970
1684473802.77819586,0.01780846,1410,0.00039284,0.00000000,0,0.00000000,9253,9199,40,0.00039725
1684473802.87803626,0.02168128,1417,0.00040388,0.00000000,0,0.00000000,9199,9173,37,0.00053289
1684473802.97809052,0.02017262,1414,0.00035180,0.00000000,0,0.00000000,9173,9192,39,0.00047982
1684473803.07802701,0.01850216,1411,0.00023596,0.00000000,0,0.00000000,9192,9218,40,0.00056274
1684473803.17789030,0.02306984,1427,0.00025893,0.00000000,0,0.00000000,9218,9241,39,0.00039322
1684473803.27809453,0.02410024,1456,0.00043471,0.00000000,0,0.00000000,9241,9269,46,0.00037720
1684473803.37795043,0.01987547,1409,0.00025822,0.00000000,0,0.00000000,9269,9292,38,0.00059329
1684473803.47887397,0.02185969,1418,0.00023426,0.00000000,0,0.00000000,9292,9306,35,0.00041232
1684473803.57794571,0.02312829,1435,0.00030116,0.00000000,0,0.00000000,9306,9324,31,0.00055135
1684473803.67783165,0.02137273,1403,0.00026901,0.00000000,0,0.00000000,9324,9352,37,0.00049271
1684473803.77876520,0.02552028,1434,0.00042416,0.00000000,0,0.00000000,9352,9335,42,0.00038334
1684473803.87782598,0.02340187,1420,0.00025634,0.00000000,0,0.00000000,9335,9347,33,0.00074556
1684473803.97776246,0.02117878,1395,0.00038110,0.00000000,0,0.00000000,9347,9344,41,0.00055535
1684473804.07867622,0.02362429,1420,0.00023311,0.00000000,0,0.00000000,9344,9359,33,0.00053942
1684473804.17772412,0.02109682,1458,0.00027278,0.00000000,0,0.00000000,9359,9350,28,0.00059751
1684473804.27764487,0.02140312,1407,0.00029031,0.00000000,0,0.00000000,9350,9354,33,0.00055426
1684473804.37860751,0.02164551,1428,0.00019482,0.00000000,0,0.00000000,9354,9368,30,0.00043711
1684473804.47765207,0.02148431,1408,0.00026744,0.00000000,0,0.00000000,9368,9344,29,0.00052835
1684473804.57756090,0.02109998,1397,0.00019562,0.00000000,0,0.00000000,9344,9377,36,0.00055218
1684473804.67844844,0.02029431,1422,0.00024012,0.00000000,0,0.00000000,9377,9402,34,0.00043689
1684473804.78025460,0.02248314,1431,0.00019917,0.00000000,0,0.00000000,9402,9420,34,0.00055858
1684473804.87849140,0.02267697,1411,0.00027064,0.00000000,0,0.00000000,9420,9438,37,0.00052557
1684473804.97861481,0.01860005,1416,0.00024463,0.00000000,0,0.00000000,9438,9448,29,0.00039466
1684473805.07841778,0.01994108,1417,0.00023992,0.00000000,0,0.00000000,9448,9453,31,0.00049745
1684473805.17834949,0.01911387,1409,0.00042428,0.00000000,0,0.00000000,9453,9414,42,0.00056287
1684473805.27859020,0.02182008,1428,0.00028817,0.00000000,0,0.00000000,9414,9380,28,0.00052675
1684473805.37735868,0.02897947,1427,0.00027889,0.00000000,0,0.00000000,9380,9378,37,0.00038836
1684473805.47848248,0.02451998,1409,0.00034732,0.00000000,0,0.00000000,9378,9371,31,0.00039485
1684473805.57841873,0.02147174,1390,0.00055004,0.00000000,0,0.00000000,9371,9356,35,0.00049905
1684473805.68435717,0.02246526,1438,0.00033385,0.00000000,0,0.00000000,9356,9391,46,0.00060730
1684473805.77837038,0.01989968,1409,0.00029482,0.00000000,0,0.00000000,9391,9405,38,0.00054166
1684473805.87824845,0.02354787,1441,0.00021174,0.00000000,0,0.00000000,9405,9434,34,0.00053836
1684473805.97836280,0.01792352,1377,0.00025307,0.00000000,0,0.00000000,9434,9450,32,0.00037361
1684473806.07824111,0.02176003,1412,0.00023199,0.00000000,0,0.00000000,9450,9482,40,0.00048849
1684473806.17816401,0.02154240,1430,0.00017754,0.00000000,0,0.00000000,9482,9495,27,0.00042886
1684473806.27821231,0.02315435,1386,0.00024197,0.00000000,0,0.00000000,9495,9508,30,0.00051255
1684473806.37811542,0.02285982,1407,0.00033980,0.00000000,0,0.00000000,9508,9488,34,0.00038698
1684473806.47802782,0.02284184,1426,0.00125379,0.00000000,0,0.00000000,9488,9181,33,0.00039601
1684473806.57815218,0.01894647,1402,0.00018769,0.00000000,0,0.00000000,9181,9178,26,0.00053443
1684473806.67800474,0.02210421,1412,0.00126012,0.00000000,0,0.00000000,9178,8972,33,0.00037617
1684473806.77799273,0.02256679,1429,0.00028132,0.00000000,0,0.00000000,8972,8973,31,0.00053427
1684473806.87802792,0.02385596,1415,0.00022614,0.00000000,0,0.00000000,8973,9008,35,0.00056018
1684473806.97795463,0.01821968,1410,0.00027479,0.00000000,0,0.00000000,9008,9004,35,0.00053935
1684473807.07807159,0.01983909,1423,0.00031731,0.00000000,0,0.00000000,9004,9015,29,0.00043804
1684473807.17800856,0.01873888,1406,0.00063916,0.00000000,0,0.00000000,9015,9009,22,0.00045375
1684473807.27781487,0.02270428,1409,0.00026133,0.00000000,0,0.00000000,9009,9023,33,0.00063181
1684473807.37780094,0.02193326,1428,0.00023855,0.00000000,0,0.00000000,9023,9048,34,0.00038145
1684473807.47780895,0.01976497,1367,0.00028209,0.00000000,0,0.00000000,9048,9038,34,0.00039357
1684473807.57813406,0.01801447,1465,0.00019172,0.00000000,0,0.00000000,9038,9044,27,0.00047784
1684473807.67773771,0.02139025,1404,0.00024847,0.00000000,0,0.00000000,9044,9049,35,0.00052278
1684473807.77774191,0.02235124,1422,0.00030071,0.00000000,0,0.00000000,9049,9058,27,0.00054914
1684473807.87774420,0.02298525,1413,0.00037848,0.00000000,0,0.00000000,9058,9092,37,0.00044604
1684473807.97758174,0.01941806,1405,0.00039988,0.00000000,0,0.00000000,9092,9089,35,0.00038407
1684473808.07762074,0.02414182,1412,0.00014159,0.00000000,0,0.00000000,9089,9111,22,0.00052976
